ModelName,ModelNumber,Batch,MaxRank,Reaction,Normal_React,Species,Normal_Species,Countback,Normal_Countback
H1,10,L1-I,12,12,1,12,1,1,0
H1,12,L1-I,12,1,0,12,1,1,0
H1,13,L1-I,12,12,1,12,1,1,0
H1,14,L1-I,11,11,1,11,1,1,0
H1,15,L1-I,12,12,1,12,1,1,0
H1,16,L1-I,12,12,1,12,1,1,0
H1,17,L1-I,12,12,1,12,1,1,0
H1,19,L1-I,12,12,1,12,1,1,0
H1,2,L1-I,12,12,1,12,1,1,0
H1,20,L1-I,12,12,1,12,1,1,0
H1,25,L1-I,11,11,1,11,1,1,0
H1,4,L1-I,12,12,1,12,1,1,0
H1,6,L1-I,11,11,1,11,1,1,0
H1,8,L1-I,12,12,1,12,1,1,0
H1,9,L1-I,12,12,1,12,1,1,0
H1,1,L1-M,12,12,1,12,1,9,0.727272727
H1,10,L1-M,12,12,1,12,1,12,1
H1,13,L1-M,12,11,0.909090909,12,1,6,0.454545455
H1,15,L1-M,12,11,0.909090909,12,1,2,0.090909091
H1,16,L1-M,12,12,1,12,1,12,1
H1,17,L1-M,12,12,1,12,1,9,0.727272727
H1,19,L1-M,12,12,1,12,1,12,1
H1,2,L1-M,12,11,0.909090909,12,1,7,0.545454545
H1,20,L1-M,12,12,1,12,1,2,0.090909091
H1,25,L1-M,11,9,0.8,11,1,3,0.2
H1,4,L1-M,12,12,1,12,1,1,0
H1,6,L1-M,11,11,1,11,1,3,0.2
H1,1,L2-F,12,12,1,12,1,2,0.090909091
H1,10,L2-F,12,12,1,12,1,5,0.363636364
H1,12,L2-F,12,1,0,12,1,7,0.545454545
H1,13,L2-F,12,12,1,12,1,7,0.545454545
H1,14,L2-F,11,11,1,11,1,11,1
H1,15,L2-F,12,12,1,12,1,3,0.181818182
H1,16,L2-F,12,12,1,12,1,8,0.636363636
H1,17,L2-F,12,12,1,12,1,10,0.818181818
H1,19,L2-F,12,12,1,12,1,5,0.363636364
H1,2,L2-F,12,11,0.909090909,12,1,7,0.545454545
H1,20,L2-F,12,12,1,12,1,7,0.545454545
H1,25,L2-F,11,8,0.7,10,0.9,2,0.1
H1,4,L2-F,12,12,1,12,1,3,0.181818182
H1,6,L2-F,11,11,1,11,1,5,0.4
H1,8,L2-F,12,12,1,12,1,10,0.818181818
H1,9,L2-F,12,11,0.909090909,12,1,12,1
H1,1,L2-ICSE,12,12,1,12,1,6,0.454545455
H1,10,L2-ICSE,12,12,1,12,1,7,0.545454545
H1,12,L2-ICSE,12,1,0,12,1,7,0.545454545
H1,13,L2-ICSE,12,11,0.909090909,12,1,6,0.454545455
H1,14,L2-ICSE,11,11,1,11,1,11,1
H1,15,L2-ICSE,12,12,1,12,1,3,0.181818182
H1,16,L2-ICSE,12,12,1,12,1,9,0.727272727
H1,17,L2-ICSE,12,12,1,12,1,10,0.818181818
H1,19,L2-ICSE,12,12,1,12,1,6,0.454545455
H1,2,L2-ICSE,12,11,0.909090909,12,1,7,0.545454545
H1,20,L2-ICSE,12,12,1,12,1,6,0.454545455
H1,25,L2-ICSE,11,7,0.6,10,0.9,2,0.1
H1,4,L2-ICSE,12,12,1,12,1,1,0
H1,6,L2-ICSE,11,11,1,11,1,3,0.2
H1,8,L2-ICSE,12,12,1,12,1,10,0.818181818
H1,9,L2-ICSE,12,11,0.909090909,12,1,12,1
H1,1,L2-I,12,12,1,12,1,1,0
H1,10,L2-I,12,12,1,12,1,1,0
H1,12,L2-I,12,1,0,12,1,1,0
H1,13,L2-I,12,12,1,12,1,1,0
H1,14,L2-I,11,11,1,11,1,1,0
H1,15,L2-I,12,12,1,12,1,1,0
H1,16,L2-I,12,12,1,12,1,1,0
H1,17,L2-I,12,12,1,12,1,1,0
H1,19,L2-I,12,12,1,12,1,1,0
H1,2,L2-I,12,12,1,12,1,1,0
H1,20,L2-I,12,12,1,12,1,1,0
H1,25,L2-I,11,11,1,11,1,1,0
H1,4,L2-I,12,12,1,12,1,1,0
H1,6,L2-I,11,11,1,11,1,1,0
H1,8,L2-I,12,12,1,12,1,1,0
H1,9,L2-I,12,12,1,12,1,1,0
H1,1,L2-M,12,12,1,12,1,9,0.727272727
H1,10,L2-M,12,12,1,12,1,12,1
H1,13,L2-M,12,11,0.909090909,12,1,6,0.454545455
H1,15,L2-M,12,11,0.909090909,12,1,2,0.090909091
H1,16,L2-M,12,12,1,12,1,12,1
H1,17,L2-M,12,12,1,12,1,9,0.727272727
H1,19,L2-M,12,12,1,12,1,12,1
H1,2,L2-M,12,11,0.909090909,12,1,7,0.545454545
H1,20,L2-M,12,12,1,12,1,2,0.090909091
H1,25,L2-M,11,9,0.8,11,1,3,0.2
H1,4,L2-M,12,12,1,12,1,1,0
H1,6,L2-M,11,11,1,11,1,3,0.2
H1,1,L3-F,12,12,1,12,1,2,0.090909091
H1,10,L3-F,12,12,1,12,1,5,0.363636364
H1,12,L3-F,12,1,0,12,1,7,0.545454545
H1,13,L3-F,12,12,1,12,1,7,0.545454545
H1,14,L3-F,11,11,1,11,1,11,1
H1,15,L3-F,12,12,1,12,1,3,0.181818182
H1,16,L3-F,12,12,1,12,1,8,0.636363636
H1,17,L3-F,12,12,1,12,1,10,0.818181818
H1,19,L3-F,12,12,1,12,1,5,0.363636364
H1,2,L3-F,12,11,0.909090909,12,1,7,0.545454545
H1,20,L3-F,12,12,1,12,1,7,0.545454545
H1,25,L3-F,11,8,0.7,10,0.9,2,0.1
H1,4,L3-F,12,12,1,12,1,3,0.181818182
H1,6,L3-F,11,11,1,11,1,5,0.4
H1,8,L3-F,12,12,1,12,1,10,0.818181818
H1,9,L3-F,12,11,0.909090909,12,1,12,1
H1,1,L3-ICSE,12,12,1,12,1,6,0.454545455
H1,10,L3-ICSE,12,12,1,12,1,7,0.545454545
H1,12,L3-ICSE,12,1,0,12,1,7,0.545454545
H1,13,L3-ICSE,12,11,0.909090909,12,1,6,0.454545455
H1,14,L3-ICSE,11,11,1,11,1,11,1
H1,15,L3-ICSE,12,12,1,12,1,3,0.181818182
H1,16,L3-ICSE,12,12,1,12,1,9,0.727272727
H1,17,L3-ICSE,12,12,1,12,1,10,0.818181818
H1,19,L3-ICSE,12,12,1,12,1,6,0.454545455
H1,2,L3-ICSE,12,11,0.909090909,12,1,7,0.545454545
H1,20,L3-ICSE,12,12,1,12,1,6,0.454545455
H1,25,L3-ICSE,11,7,0.6,10,0.9,2,0.1
H1,4,L3-ICSE,12,12,1,12,1,1,0
H1,6,L3-ICSE,11,11,1,11,1,3,0.2
H1,8,L3-ICSE,12,12,1,12,1,10,0.818181818
H1,9,L3-ICSE,12,11,0.909090909,12,1,12,1
H1,1,L3-I,12,12,1,12,1,1,0
H1,10,L3-I,12,12,1,12,1,1,0
H1,12,L3-I,12,1,0,12,1,1,0
H1,13,L3-I,12,12,1,12,1,1,0
H1,14,L3-I,11,11,1,11,1,1,0
H1,15,L3-I,12,12,1,12,1,1,0
H1,16,L3-I,12,12,1,12,1,1,0
H1,17,L3-I,12,12,1,12,1,1,0
H1,19,L3-I,12,12,1,12,1,1,0
H1,2,L3-I,12,12,1,12,1,1,0
H1,20,L3-I,12,12,1,12,1,1,0
H1,25,L3-I,11,11,1,11,1,1,0
H1,4,L3-I,12,12,1,12,1,1,0
H1,6,L3-I,11,11,1,11,1,1,0
H1,8,L3-I,12,12,1,12,1,1,0
H1,9,L3-I,12,12,1,12,1,1,0
H1,1,L3-M,12,12,1,12,1,9,0.727272727
H1,10,L3-M,12,12,1,12,1,12,1
H1,13,L3-M,12,11,0.909090909,12,1,6,0.454545455
H1,15,L3-M,12,11,0.909090909,12,1,2,0.090909091
H1,16,L3-M,12,12,1,12,1,12,1
H1,17,L3-M,12,12,1,12,1,9,0.727272727
H1,19,L3-M,12,12,1,12,1,12,1
H1,2,L3-M,12,11,0.909090909,12,1,7,0.545454545
H1,20,L3-M,12,12,1,12,1,2,0.090909091
H1,25,L3-M,11,9,0.8,11,1,3,0.2
H1,4,L3-M,12,12,1,12,1,1,0
H1,6,L3-M,11,11,1,11,1,3,0.2
H1,1,L4-F,12,12,1,12,1,2,0.090909091
H1,10,L4-F,12,12,1,12,1,5,0.363636364
H1,12,L4-F,12,1,0,12,1,7,0.545454545
H1,13,L4-F,12,12,1,12,1,7,0.545454545
H1,14,L4-F,11,11,1,11,1,11,1
H1,15,L4-F,12,12,1,12,1,3,0.181818182
H1,16,L4-F,12,12,1,12,1,8,0.636363636
H1,17,L4-F,12,12,1,12,1,10,0.818181818
H1,19,L4-F,12,12,1,12,1,5,0.363636364
H1,2,L4-F,12,11,0.909090909,12,1,7,0.545454545
H1,20,L4-F,12,12,1,12,1,7,0.545454545
H1,25,L4-F,11,8,0.7,10,0.9,2,0.1
H1,4,L4-F,12,12,1,12,1,3,0.181818182
H1,6,L4-F,11,11,1,11,1,5,0.4
H1,8,L4-F,12,12,1,12,1,10,0.818181818
H1,9,L4-F,12,11,0.909090909,12,1,12,1
H1,1,L4-ICSE,12,12,1,12,1,6,0.454545455
H1,10,L4-ICSE,12,12,1,12,1,7,0.545454545
H1,12,L4-ICSE,12,1,0,12,1,7,0.545454545
H1,13,L4-ICSE,12,11,0.909090909,12,1,6,0.454545455
H1,14,L4-ICSE,11,11,1,11,1,11,1
H1,15,L4-ICSE,12,12,1,12,1,3,0.181818182
H1,16,L4-ICSE,12,12,1,12,1,9,0.727272727
H1,17,L4-ICSE,12,12,1,12,1,10,0.818181818
H1,19,L4-ICSE,12,12,1,12,1,6,0.454545455
H1,2,L4-ICSE,12,11,0.909090909,12,1,7,0.545454545
H1,20,L4-ICSE,12,12,1,12,1,6,0.454545455
H1,25,L4-ICSE,11,7,0.6,10,0.9,2,0.1
H1,4,L4-ICSE,12,12,1,12,1,1,0
H1,6,L4-ICSE,11,11,1,11,1,3,0.2
H1,8,L4-ICSE,12,12,1,12,1,10,0.818181818
H1,9,L4-ICSE,12,11,0.909090909,12,1,12,1
H1,1,L4-I,12,12,1,12,1,1,0
H1,10,L4-I,12,12,1,12,1,1,0
H1,12,L4-I,12,1,0,12,1,1,0
H1,13,L4-I,12,12,1,12,1,1,0
H1,14,L4-I,11,11,1,11,1,1,0
H1,15,L4-I,12,12,1,12,1,1,0
H1,16,L4-I,12,12,1,12,1,1,0
H1,17,L4-I,12,12,1,12,1,1,0
H1,19,L4-I,12,12,1,12,1,1,0
H1,2,L4-I,12,12,1,12,1,1,0
H1,20,L4-I,12,12,1,12,1,1,0
H1,25,L4-I,11,11,1,11,1,1,0
H1,4,L4-I,12,12,1,12,1,1,0
H1,6,L4-I,11,11,1,11,1,1,0
H1,8,L4-I,12,12,1,12,1,1,0
H1,9,L4-I,12,12,1,12,1,1,0
H1,1,L4-M,12,12,1,12,1,9,0.727272727
H1,10,L4-M,12,12,1,12,1,12,1
H1,13,L4-M,12,11,0.909090909,12,1,6,0.454545455
H1,15,L4-M,12,11,0.909090909,12,1,2,0.090909091
H1,16,L4-M,12,12,1,12,1,12,1
H1,17,L4-M,12,12,1,12,1,9,0.727272727
H1,19,L4-M,12,12,1,12,1,12,1
H1,2,L4-M,12,11,0.909090909,12,1,7,0.545454545
H1,20,L4-M,12,12,1,12,1,2,0.090909091
H1,25,L4-M,11,9,0.8,11,1,3,0.2
H1,4,L4-M,12,12,1,12,1,1,0
H1,6,L4-M,11,11,1,11,1,3,0.2
H1,1,L5-F,12,12,1,12,1,2,0.090909091
H1,10,L5-F,12,12,1,12,1,5,0.363636364
H1,12,L5-F,12,1,0,12,1,7,0.545454545
H1,13,L5-F,12,12,1,12,1,7,0.545454545
H1,14,L5-F,11,11,1,11,1,11,1
H1,15,L5-F,12,12,1,12,1,3,0.181818182
H1,16,L5-F,12,12,1,12,1,8,0.636363636
H1,17,L5-F,12,12,1,12,1,10,0.818181818
H1,19,L5-F,12,12,1,12,1,5,0.363636364
H1,2,L5-F,12,11,0.909090909,12,1,7,0.545454545
H1,20,L5-F,12,12,1,12,1,7,0.545454545
H1,25,L5-F,11,8,0.7,10,0.9,2,0.1
H1,4,L5-F,12,12,1,12,1,3,0.181818182
H1,6,L5-F,11,11,1,11,1,5,0.4
H1,8,L5-F,12,12,1,12,1,10,0.818181818
H1,9,L5-F,12,11,0.909090909,12,1,12,1
H1,1,L5-ICSE,12,12,1,12,1,6,0.454545455
H1,10,L5-ICSE,12,12,1,12,1,7,0.545454545
H1,12,L5-ICSE,12,1,0,12,1,7,0.545454545
H1,13,L5-ICSE,12,11,0.909090909,12,1,6,0.454545455
H1,14,L5-ICSE,11,11,1,11,1,11,1
H1,15,L5-ICSE,12,12,1,12,1,3,0.181818182
H1,16,L5-ICSE,12,12,1,12,1,9,0.727272727
H1,17,L5-ICSE,12,12,1,12,1,10,0.818181818
H1,19,L5-ICSE,12,12,1,12,1,6,0.454545455
H1,2,L5-ICSE,12,11,0.909090909,12,1,7,0.545454545
H1,20,L5-ICSE,12,12,1,12,1,6,0.454545455
H1,25,L5-ICSE,11,7,0.6,10,0.9,2,0.1
H1,4,L5-ICSE,12,12,1,12,1,1,0
H1,6,L5-ICSE,11,11,1,11,1,3,0.2
H1,8,L5-ICSE,12,12,1,12,1,10,0.818181818
H1,9,L5-ICSE,12,11,0.909090909,12,1,12,1
H1,1,L5-I,12,12,1,12,1,1,0
H1,10,L5-I,12,12,1,12,1,1,0
H1,12,L5-I,12,1,0,12,1,1,0
H1,13,L5-I,12,12,1,12,1,1,0
H1,14,L5-I,11,11,1,11,1,1,0
H1,15,L5-I,12,12,1,12,1,1,0
H1,16,L5-I,12,12,1,12,1,1,0
H1,17,L5-I,12,12,1,12,1,1,0
H1,19,L5-I,12,12,1,12,1,1,0
H1,2,L5-I,12,12,1,12,1,1,0
H1,20,L5-I,12,12,1,12,1,1,0
H1,25,L5-I,11,11,1,11,1,1,0
H1,4,L5-I,12,12,1,12,1,1,0
H1,6,L5-I,11,11,1,11,1,1,0
H1,8,L5-I,12,12,1,12,1,1,0
H1,9,L5-I,12,12,1,12,1,1,0
H1,1,L5-M,12,12,1,12,1,9,0.727272727
H1,10,L5-M,12,12,1,12,1,12,1
H1,13,L5-M,12,11,0.909090909,12,1,6,0.454545455
H1,15,L5-M,12,11,0.909090909,12,1,2,0.090909091
H1,16,L5-M,12,12,1,12,1,12,1
H1,17,L5-M,12,12,1,12,1,9,0.727272727
H1,19,L5-M,12,12,1,12,1,12,1
H1,2,L5-M,12,11,0.909090909,12,1,7,0.545454545
H1,20,L5-M,12,12,1,12,1,2,0.090909091
H1,25,L5-M,11,9,0.8,11,1,3,0.2
H1,4,L5-M,12,12,1,12,1,1,0
H1,6,L5-M,11,11,1,11,1,3,0.2
H1,1,L1,12,11,0.909090909,12,1,1,0
H1,10,L1,12,11,0.909090909,12,1,1,0
H1,12,L1,12,1,0,12,1,1,0
H1,13,L1,12,11,0.909090909,12,1,1,0
H1,14,L1,11,11,1,11,1,2,0.1
H1,15,L1,12,11,0.909090909,12,1,1,0
H1,16,L1,12,12,1,12,1,1,0
H1,17,L1,12,12,1,12,1,1,0
H1,19,L1,12,10,0.818181818,12,1,1,0
H1,2,L1,12,11,0.909090909,12,1,1,0
H1,20,L1,12,12,1,12,1,1,0
H1,25,L1,11,7,0.6,10,0.9,1,0
H1,4,L1,12,12,1,12,1,1,0
H1,6,L1,11,11,1,11,1,1,0
H1,8,L1,12,12,1,12,1,1,0
H1,9,L1,12,11,0.909090909,12,1,2,0.090909091
H1,1,L2,12,11,0.909090909,12,1,1,0
H1,10,L2,12,11,0.909090909,12,1,1,0
H1,12,L2,12,1,0,12,1,1,0
H1,13,L2,12,11,0.909090909,12,1,1,0
H1,14,L2,11,11,1,11,1,2,0.1
H1,15,L2,12,11,0.909090909,12,1,1,0
H1,16,L2,12,12,1,12,1,1,0
H1,17,L2,12,12,1,12,1,1,0
H1,19,L2,12,10,0.818181818,12,1,1,0
H1,2,L2,12,11,0.909090909,12,1,1,0
H1,20,L2,12,12,1,12,1,1,0
H1,25,L2,11,7,0.6,10,0.9,1,0
H1,4,L2,12,12,1,12,1,1,0
H1,6,L2,11,11,1,11,1,1,0
H1,8,L2,12,12,1,12,1,1,0
H1,9,L2,12,11,0.909090909,12,1,2,0.090909091
H1,1,L3,12,11,0.909090909,12,1,1,0
H1,10,L3,12,11,0.909090909,12,1,1,0
H1,12,L3,12,1,0,12,1,1,0
H1,13,L3,12,11,0.909090909,12,1,1,0
H1,14,L3,11,11,1,11,1,2,0.1
H1,15,L3,12,11,0.909090909,12,1,1,0
H1,16,L3,12,12,1,12,1,1,0
H1,17,L3,12,12,1,12,1,1,0
H1,19,L3,12,10,0.818181818,12,1,1,0
H1,2,L3,12,11,0.909090909,12,1,1,0
H1,20,L3,12,12,1,12,1,1,0
H1,25,L3,11,7,0.6,10,0.9,1,0
H1,4,L3,12,12,1,12,1,1,0
H1,6,L3,11,11,1,11,1,1,0
H1,8,L3,12,12,1,12,1,1,0
H1,9,L3,12,11,0.909090909,12,1,2,0.090909091
H1,1,L4,12,12,1,12,1,1,0
H1,10,L4,12,12,1,12,1,1,0
H1,12,L4,12,1,0,12,1,1,0
H1,13,L4,12,12,1,12,1,1,0
H1,14,L4,11,11,1,11,1,1,0
H1,15,L4,12,12,1,12,1,1,0
H1,16,L4,12,12,1,12,1,1,0
H1,17,L4,12,12,1,12,1,1,0
H1,19,L4,12,12,1,12,1,1,0
H1,2,L4,12,12,1,12,1,1,0
H1,20,L4,12,12,1,12,1,1,0
H1,25,L4,11,11,1,11,1,1,0
H1,4,L4,12,12,1,12,1,1,0
H1,6,L4,11,11,1,11,1,1,0
H1,8,L4,12,12,1,12,1,1,0
H1,9,L4,12,12,1,12,1,1,0
H1,1,L5,12,12,1,12,1,1,0
H1,10,L5,12,12,1,12,1,1,0
H1,12,L5,12,1,0,12,1,1,0
H1,13,L5,12,12,1,12,1,1,0
H1,14,L5,11,11,1,11,1,1,0
H1,15,L5,12,12,1,12,1,1,0
H1,16,L5,12,12,1,12,1,1,0
H1,17,L5,12,12,1,12,1,1,0
H1,19,L5,12,12,1,12,1,1,0
H1,2,L5,12,12,1,12,1,1,0
H1,20,L5,12,12,1,12,1,1,0
H1,25,L5,11,11,1,11,1,1,0
H1,4,L5,12,12,1,12,1,1,0
H1,6,L5,11,11,1,11,1,1,0
H1,8,L5,12,12,1,12,1,1,0
H1,9,L5,12,12,1,12,1,1,0
AL1D,11,L1-F,6,6,1,6,1,6,1
AL1D,12,L1-F,6,3,0.4,6,1,5,0.8
AL1D,13,L1-F,6,6,1,6,1,3,0.4
AL1D,14,L1-F,6,5,0.8,6,1,1,0
AL1D,15,L1-F,6,1,0,1,0,6,1
AL1D,16,L1-F,5,3,0.5,5,1,5,1
AL1D,17,L1-F,6,6,1,6,1,6,1
AL1D,19,L1-F,6,3,0.4,3,0.4,6,1
AL1D,2,L1-F,5,3,0.5,5,1,1,0
AL1D,20,L1-F,5,5,1,3,0.5,1,0
AL1D,21,L1-F,5,5,1,5,1,5,1
AL1D,23,L1-F,6,6,1,6,1,3,0.4
AL1D,3,L1-F,5,5,1,5,1,5,1
AL1D,4,L1-F,6,3,0.4,3,0.4,4,0.6
AL1D,6,L1-F,6,3,0.4,3,0.4,1,0
AL1D,7,L1-F,5,2,0.25,1,0,5,1
AL1D,9,L1-F,5,2,0.25,4,0.75,2,0.25
AL1D,11,L1-ICSE,6,3,0.4,1,0,1,0
AL1D,12,L1-ICSE,6,1,0,6,1,4,0.6
AL1D,13,L1-ICSE,6,6,1,6,1,3,0.4
AL1D,14,L1-ICSE,6,5,0.8,6,1,1,0
AL1D,15,L1-ICSE,6,1,0,1,0,6,1
AL1D,16,L1-ICSE,5,3,0.5,5,1,3,0.5
AL1D,17,L1-ICSE,6,2,0.2,6,1,1,0
AL1D,19,L1-ICSE,6,4,0.6,4,0.6,1,0
AL1D,2,L1-ICSE,5,3,0.5,5,1,1,0
AL1D,20,L1-ICSE,5,5,1,3,0.5,1,0
AL1D,21,L1-ICSE,5,5,1,5,1,5,1
AL1D,23,L1-ICSE,6,6,1,6,1,3,0.4
AL1D,3,L1-ICSE,5,5,1,5,1,5,1
AL1D,4,L1-ICSE,6,4,0.6,3,0.4,1,0
AL1D,6,L1-ICSE,6,3,0.4,3,0.4,1,0
AL1D,7,L1-ICSE,5,2,0.25,1,0,1,0
AL1D,9,L1-ICSE,5,1,0,4,0.75,2,0.25
AL1D,11,L1-I,6,6,1,6,1,1,0
AL1D,12,L1-I,6,1,0,6,1,1,0
AL1D,13,L1-I,6,6,1,6,1,1,0
AL1D,14,L1-I,6,6,1,6,1,1,0
AL1D,15,L1-I,6,1,0,1,0,6,1
AL1D,16,L1-I,5,5,1,5,1,1,0
AL1D,17,L1-I,6,6,1,6,1,1,0
AL1D,19,L1-I,6,5,0.8,6,1,1,0
AL1D,2,L1-I,5,4,0.75,5,1,1,0
AL1D,20,L1-I,5,5,1,5,1,1,0
AL1D,21,L1-I,5,5,1,5,1,5,1
AL1D,23,L1-I,6,6,1,6,1,1,0
AL1D,3,L1-I,5,5,1,5,1,5,1
AL1D,4,L1-I,6,6,1,6,1,1,0
AL1D,6,L1-I,6,6,1,6,1,1,0
AL1D,7,L1-I,5,3,0.5,5,1,1,0
AL1D,9,L1-I,5,1,0,5,1,1,0
AL1D,11,L1-M,6,3,0.4,1,0,1,0
AL1D,12,L1-M,6,1,0,6,1,4,0.6
AL1D,13,L1-M,6,6,1,6,1,3,0.4
AL1D,14,L1-M,6,5,0.8,6,1,1,0
AL1D,15,L1-M,6,1,0,1,0,6,1
AL1D,16,L1-M,5,3,0.5,5,1,3,0.5
AL1D,17,L1-M,6,2,0.2,6,1,1,0
AL1D,19,L1-M,6,4,0.6,4,0.6,1,0
AL1D,2,L1-M,5,3,0.5,5,1,1,0
AL1D,20,L1-M,5,5,1,3,0.5,1,0
AL1D,21,L1-M,5,5,1,5,1,5,1
AL1D,23,L1-M,6,6,1,6,1,3,0.4
AL1D,3,L1-M,5,5,1,5,1,5,1
AL1D,4,L1-M,6,4,0.6,3,0.4,1,0
AL1D,6,L1-M,6,3,0.4,3,0.4,1,0
AL1D,7,L1-M,5,2,0.25,1,0,1,0
AL1D,9,L1-M,5,1,0,4,0.75,2,0.25
AL1D,11,L1,6,3,0.4,1,0,1,0
AL1D,12,L1,6,1,0,6,1,4,0.6
AL1D,13,L1,6,6,1,6,1,3,0.4
AL1D,14,L1,6,5,0.8,6,1,1,0
AL1D,15,L1,6,1,0,1,0,6,1
AL1D,16,L1,5,3,0.5,5,1,3,0.5
AL1D,17,L1,6,2,0.2,6,1,1,0
AL1D,19,L1,6,4,0.6,4,0.6,1,0
AL1D,2,L1,5,3,0.5,5,1,1,0
